Date,Price,Regime,Regime_Mean
2020-05-19,33.06,3,69.22889394364012
2020-05-20,34.76,3,69.22889394364012
2020-05-21,34.78,3,69.22889394364012
2020-05-22,33.8,3,69.22889394364012
2020-05-26,33.95,3,69.22889394364012
2020-05-27,32.73,3,69.22889394364012
2020-05-28,33.98,3,69.22889394364012
2020-05-29,34.15,3,69.22889394364012
2020-06-01,36.74,3,69.22889394364012
2020-06-02,37.72,3,69.22889394364012
2020-06-03,37.98,3,69.22889394364012
2020-06-04,38.41,3,69.22889394364012
2020-06-05,41.0,3,69.22889394364012
2020-06-08,39.66,3,69.22889394364012
2020-06-09,40.45,3,69.22889394364012
2020-06-10,41.18,3,69.22889394364012
2020-06-11,37.76,3,69.22889394364012
2020-06-12,38.54,3,69.22889394364012
2020-06-15,39.44,3,69.22889394364012
2020-06-16,40.75,3,69.22889394364012
2020-06-17,40.47,3,69.22889394364012
2020-06-18,41.75,3,69.22889394364012
2020-06-19,42.33,3,69.22889394364012
2020-06-22,43.2,3,69.22889394364012
2020-06-23,42.72,3,69.22889394364012
2020-06-24,40.4,3,69.22889394364012
2020-06-25,41.18,3,69.22889394364012
2020-06-26,40.97,3,69.22889394364012
2020-06-29,41.58,3,69.22889394364012
2020-06-30,41.64,3,69.22889394364012
2020-07-01,42.18,3,69.22889394364012
2020-07-02,43.19,3,69.22889394364012
2020-07-03,42.92,3,69.22889394364012
2020-07-06,42.73,3,69.22889394364012
2020-07-07,43.28,3,69.22889394364012
2020-07-08,43.67,3,69.22889394364012
2020-07-09,42.35,3,69.22889394364012
2020-07-10,43.27,3,69.22889394364012
2020-07-13,42.85,3,69.22889394364012
2020-07-14,42.97,3,69.22889394364012
2020-07-15,43.96,3,69.22889394364012
2020-07-16,43.71,3,69.22889394364012
2020-07-17,43.53,3,69.22889394364012
2020-07-20,43.3,3,69.22889394364012
2020-07-21,44.31,3,69.22889394364012
2020-07-22,43.98,3,69.22889394364012
2020-07-23,42.96,3,69.22889394364012
2020-07-24,43.29,3,69.22889394364012
2020-07-27,43.39,3,69.22889394364012
2020-07-28,43.11,3,69.22889394364012
2020-07-29,43.51,3,69.22889394364012
2020-07-30,42.98,3,69.22889394364012
2020-07-31,43.13,3,69.22889394364012
2020-08-03,43.76,3,69.22889394364012
2020-08-04,43.99,3,69.22889394364012
2020-08-05,44.92,3,69.22889394364012
2020-08-06,45.04,3,69.22889394364012
2020-08-07,44.07,3,69.22889394364012
2020-08-10,44.19,3,69.22889394364012
2020-08-11,43.68,3,69.22889394364012
2020-08-12,45.09,3,69.22889394364012
2020-08-13,44.87,3,69.22889394364012
2020-08-14,44.86,3,69.22889394364012
2020-08-17,44.91,3,69.22889394364012
2020-08-18,45.34,3,69.22889394364012
2020-08-19,45.21,3,69.22889394364012
2020-08-20,44.56,3,69.22889394364012
2020-08-21,43.94,3,69.22889394364012
2020-08-24,44.43,3,69.22889394364012
2020-08-25,46.01,3,69.22889394364012
2020-08-26,45.79,3,69.22889394364012
2020-08-27,44.84,3,69.22889394364012
2020-08-28,45.22,3,69.22889394364012
2020-09-01,45.72,3,69.22889394364012
2020-09-02,42.7,3,69.22889394364012
2020-09-03,42.72,3,69.22889394364012
2020-09-04,41.1,3,69.22889394364012
2020-09-07,40.67,3,69.22889394364012
2020-09-08,38.53,3,69.22889394364012
2020-09-09,39.98,3,69.22889394364012
2020-09-10,39.27,3,69.22889394364012
2020-09-11,38.8,3,69.22889394364012
2020-09-14,38.57,3,69.22889394364012
2020-09-15,39.54,3,69.22889394364012
2020-09-16,41.23,3,69.22889394364012
2020-09-17,42.35,3,69.22889394364012
2020-09-18,42.16,3,69.22889394364012
2020-09-21,40.37,3,69.22889394364012
2020-09-22,40.84,3,69.22889394364012
2020-09-23,41.09,3,69.22889394364012
2020-09-24,41.24,3,69.22889394364012
2020-09-25,40.91,3,69.22889394364012
2020-09-28,41.59,3,69.22889394364012
2020-09-29,40.33,3,69.22889394364012
2020-09-30,40.3,3,69.22889394364012
2020-10-01,39.75,3,69.22889394364012
2020-10-02,38.0,3,69.22889394364012
2020-10-05,39.78,3,69.22889394364012
2020-10-06,41.27,3,69.22889394364012
2020-10-07,40.62,3,69.22889394364012
2020-10-08,42.0,3,69.22889394364012
2020-10-09,41.63,3,69.22889394364012
2020-10-12,40.5,3,69.22889394364012
2020-10-13,41.34,3,69.22889394364012
2020-10-14,41.81,3,69.22889394364012
2020-10-15,41.61,3,69.22889394364012
2020-10-16,41.34,3,69.22889394364012
2020-10-19,41.29,3,69.22889394364012
2020-10-20,41.62,3,69.22889394364012
2020-10-21,40.09,3,69.22889394364012
2020-10-22,41.28,3,69.22889394364012
2020-10-23,40.71,3,69.22889394364012
2020-10-26,39.06,3,69.22889394364012
2020-10-27,39.72,3,69.22889394364012
2020-10-28,37.86,3,69.22889394364012
2020-10-29,36.56,3,69.22889394364012
2020-10-30,36.33,3,69.22889394364012
2020-11-02,37.78,3,69.22889394364012
2020-11-03,38.17,3,69.22889394364012
